step,loss/policy,loss/value,loss/kl_penalty,loss/total,policy/approxkl,policy/clipfrac,value/error,value/clipfrac,objective/kl,objective/rewards,objective/returns,step_time,policy/learning_rate,value/learning_rate
1,-4.76837158203125e-05,0.01925223134458065,1.4645712553829071e-06,0.01925223134458065,-0.0001493181480327621,0.0013950893189758062,0.3861607015132904,0.0013253347715362906,0.0446428582072258,0.7142857313156128,1.2678571939468384,5.2535,1e-07,1e-06
2,-0.0002685546933207661,0.01953125,1.1603037819440942e-06,0.01966145820915699,3.662109520519152e-05,0.0009724934934638441,0.38749998807907104,0.003971354104578495,0.03307291492819786,0.8083333373069763,1.274999976158142,5.4504,1e-07,1e-06
3,-0.0004353841068223119,0.01927083358168602,1.374880525872868e-06,0.01979166641831398,0.00011494954378576949,0.0019042969215661287,0.3854166567325592,0.002864583395421505,0.03854166716337204,0.8416666388511658,1.2833333015441895,5.4669,8.375234893767539e-07,2.3546349804879152e-06
4,-8.290608820971102e-05,0.01861979253590107,1.09672544112982e-06,0.01875000074505806,0.00011393229215173051,0.0011311848647892475,0.375,0.0024739583022892475,0.0338541679084301,0.800000011920929,1.274999976158142,5.55,1.2689470740631731e-06,3.1470456462384807e-06
5,0.00027669270639307797,0.01901041716337204,1.3669331337951007e-06,0.01875000074505806,-0.0004760742303915322,0.0015787760494276881,0.3791666626930237,0.002506510354578495,0.04088541492819786,0.7583333253860474,1.2666666507720947,5.5641,1.575046978753508e-06,3.70926996097583e-06
6,0.0003499348822515458,0.01796874962747097,1.2079874522896716e-06,0.01770833320915699,-0.0008422851678915322,0.0019856770522892475,0.3583333194255829,0.010677083395421505,0.03697916492819786,0.75,1.2666666507720947,5.5869,1.8124765106232457e-06,4.1453650195120835e-06
7,0.0016764323227107525,0.01822916604578495,1.3828278042637976e-06,0.01647135429084301,-0.0023925781715661287,0.0071614584885537624,0.36250001192092896,0.04140625149011612,0.0364583320915699,0.8916666507720947,1.2999999523162842,5.5743,2.0064705634399267e-06,4.501680626726396e-06
8,0.0018961589084938169,0.01901041716337204,1.1603037819440942e-06,0.01718750037252903,-0.0030761719681322575,0.00937500037252903,0.34375,0.25,0.03697916492819786,0.7916666865348816,1.2666666507720947,5.65,2.170490198034929e-06,4.802941180064155e-06
9,0.0024251302238553762,0.01927083358168602,1.2079874522896716e-06,0.01679687574505806,-0.0068359375,0.02317708358168602,0.34583333134651184,0.26875001192092896,0.03697916492819786,0.7749999761581421,1.25,5.6362,2.312570468130261e-06,5.0639049414637446e-06
10,0.0035481771919876337,0.01861979253590107,1.3669331337951007e-06,0.015104166232049465,-0.00989583320915699,0.02916666679084301,0.3333333432674408,0.2562499940395355,0.04114583507180214,0.7083333134651184,1.2833333015441895,5.6669,2.437894148126346e-06,5.294091292476961e-06
11,0.004589843563735485,0.01679687574505806,1.271565793103946e-06,0.01210937462747097,-0.01184895820915699,0.0338541679084301,0.2854166626930237,0.30000001192092896,0.03437500074505806,0.8833333253860474,1.2833333015441895,5.668,2.5499999999999997e-06,5.499999999999999e-06
12,0.005110676866024733,0.01608072966337204,1.2238820090715308e-06,0.01100260391831398,-0.01210937462747097,0.03164062649011612,0.26875001192092896,0.30416667461395264,0.0364583320915699,0.8083333373069763,1.2666666507720947,5.6871,2.651412078637651e-06,5.686267083212012e-06
13,0.00634765625,0.01621093787252903,1.1523565035531647e-06,0.009830729104578495,-0.01770833320915699,0.04505208507180214,0.26249998807907104,0.32499998807907104,0.0364583320915699,0.800000011920929,1.2666666507720947,5.6977,2.7439940528166807e-06,5.856315607214311e-06
14,0.0074869790114462376,0.01627604104578495,1.4940898154236493e-06,0.0087890625,-0.02304687537252903,0.05546874925494194,0.2541666626930237,0.34166666865348816,0.04374999925494194,0.7166666388511658,1.274999976158142,5.7122,2.8291612131517495e-06,6.012745085380764e-06
15,0.00904947891831398,0.01614583283662796,1.09672544112982e-06,0.007031249813735485,-0.02591145783662796,0.0611979179084301,0.24166665971279144,0.3583333194255829,0.03164062649011612,0.8500000238418579,1.274999976158142,5.7148,2.9080136874116827e-06,6.15757616055207e-06
16,0.009114583022892475,0.015559895895421505,1.3669331337951007e-06,0.0064453124068677425,-0.02513020858168602,0.06197916716337204,0.23020833730697632,0.35624998807907104,0.03854166716337204,0.824999988079071,1.274999976158142,5.7176,2.981423584686419e-06,6.292410665750565e-06
17,0.00963541679084301,0.01536458358168602,1.112619997911679e-06,0.00572916679084301,-0.0234375,0.06432291865348816,0.22291666269302368,0.3583333194255829,0.03463541716337204,0.800000011920929,1.2833333015441895,5.7451,3.0500939575070155e-06,6.41853992195166e-06
18,-0.00023357685131486505,0.011868990026414394,0.000152587890625,0.012319711968302727,-0.00042724609375,0.0020845853723585606,0.23798076808452606,0.0015211838763207197,2.942307710647583,0.6634615659713745,1.2163461446762085,4.2169,3.1145998573767713e-06,6.537020146202233e-06
19,-0.00010630289762048051,0.011067708022892475,0.0001759847073117271,0.01132812537252903,-0.0017415364272892475,0.004817708395421505,0.22083333134651184,0.0025878907181322575,3.1666667461395264,0.699999988079071,1.2083333730697632,4.8184,3.1754176375030995e-06,6.6487262729648755e-06
