objective/training/accuracy_reward,objective/training/accuracy_reward_std,objective/training/format_reward,objective/training/format_reward_std,objective/training/total_reward,tokens/training/prompt_length,tokens/training/completion_length,tokens/training/completion_length_std,tokens/training/completion_length_max,tokens/training/completion_length_min,tokens/training/completion_length_max_ratio,tokens/training/completion_length_p99,elapsed/generation_time,elapsed/generation_episodes,elapsed/explore_epsilon,training/loss/pg,training/loss/total,training/loss/kl,training/kl,training/kl_std,training/grad_norm,elapsed/train_time,elapsed/policy_update,elapsed/reference_update,training/learning_rate,elapsed/step_time,step
0.486328125,0.49981304488176814,0.3095703125,0.24279904832732013,0.7958984375,157.9375,157.30859375,85.9895892384506,740,32,0.0,350.89,166.95277571678162,512.0,0.0,-0.000451551575679332,-0.00044890851495438255,2.6414317275992583e-06,0.0002641431792589355,0.00011722500842062096,1.4290651082992554,102.88515424728394,4.0,0.0,1e-06,272.4048180580139,0
0.630859375,0.4825720919972573,0.345703125,0.230956515095882,0.9765625,154.375,128.123046875,66.14693114643757,494,28,0.0,373.67999999999984,135.97431707382202,1024.0,0.0,-5.1698531024158e-05,-4.803095544048119e-05,3.6660793689691218e-06,0.0003666079434196945,0.00012808657362706424,1.467143028974533,98.1088604927063,8.0,0.0,1e-06,236.34943461418152,1
0.658203125,0.47431189236644106,0.310546875,0.24255736626153898,0.96875,158.3125,147.9609375,70.81869482432653,431,33,0.0,408.0399999999995,139.63191413879395,1536.0,0.0,0.00015589204849675298,0.00016099037748062983,5.098247254586852e-06,0.0005098247382875343,0.0002234099167748928,1.385152131319046,100.20966958999634,12.0,0.0,1e-06,241.74991703033447,2
0.70703125,0.4551242264738689,0.3349609375,0.2351204778387478,1.0419921875,154.96875,145.546875,80.19425725377332,709,22,0.0,348.5699999999998,148.49304366111755,2048.0,0.0,-4.763837205246091e-05,-4.115714182262309e-05,6.482801156337814e-06,0.0006482801305764951,0.0003089721420396057,1.5822747647762299,100.47989344596863,16.0,0.0,1e-06,250.99596071243286,3
0.634765625,0.4814958217039473,0.302734375,0.24437488760787057,0.9375,159.1875,162.46484375,81.77557616909884,580,30,0.0,460.3599999999997,157.69607758522034,2560.0,0.0,-7.7391741797328e-06,1.8400642147753388e-06,9.578453354919247e-06,0.0009578453573340084,0.0004268442210967048,1.4944968819618225,103.40214371681213,20.0,0.0,1e-06,263.1784203052521,4
0.642578125,0.4792405223595813,0.353515625,0.22756211323693445,0.99609375,155.65625,160.52734375,86.9633500523027,1300,40,0.0,325.89,175.25766468048096,3072.0,0.0,-2.5300018023699522e-05,-1.53561031766003e-05,9.943718735527796e-06,0.0009943718957856618,0.00044275910763063756,1.3175370693206787,100.5554563999176,24.0,0.0,1e-06,277.4842176437378,5
0.640625,0.47981726664950275,0.330078125,0.2368279837698332,0.970703125,170.4375,158.306640625,83.11102863580801,750,28,0.0,408.78,163.26442742347717,3584.0,0.0,-0.00027105923800263554,-0.0002588448796814191,1.2214532752352625e-05,0.0012214533028327423,0.0006537582359197455,1.703391969203949,103.43502378463745,28.0,0.0,1e-06,268.5701901912689,6
0.689453125,0.46271753092759993,0.30859375,0.24303656609847313,0.998046875,159.84375,154.779296875,65.6764688130811,410,40,0.0,354.3399999999999,151.20466375350952,4096.0,0.0,-9.413424413651228e-05,-7.985148840816692e-05,1.4282503691731563e-05,0.0014282504025686649,0.000504911466316806,1.2536973059177399,99.74901580810547,32.0,0.0,1e-06,253.24008345603943,7
0.587890625,0.4922146259886122,0.373046875,0.2176223025168477,0.9609375,157.84375,149.67578125,74.77189504387427,531,30,0.0,371.67999999999984,148.62418341636658,4608.0,0.0,-0.00013644126011058688,-0.0001197672936541494,1.6674365856061968e-05,0.0016674366179358913,0.0007394857161771816,1.4885647594928741,99.22896027565002,36.0,0.0,1e-06,249.99109482765198,8
0.755859375,0.4295765126547416,0.349609375,0.22929887137120708,1.10546875,161.21875,167.630859375,87.69397285916504,1300,30,0.0,405.0,169.76206803321838,5120.0,0.0,0.0002227526274509728,0.00024131244572345167,1.855747634138538e-05,0.0018557476810201479,0.0009713078963421346,1.2061847448349,102.1173484325409,40.0,0.0,1e-06,274.12399983406067,9
