objective/training/accuracy_reward,objective/training/accuracy_reward_std,objective/training/format_reward,objective/training/format_reward_std,objective/training/total_reward,tokens/training/prompt_length,tokens/training/completion_length,tokens/training/completion_length_std,tokens/training/completion_length_max,tokens/training/completion_length_min,tokens/training/completion_length_max_ratio,tokens/training/completion_length_p99,tokens/training/Wait_count,elapsed/generation_time,elapsed/generation_episodes,elapsed/explore_epsilon,training/loss/pg,training/loss/total,training/loss/kl,training/kl,training/kl_std,training/grad_norm,elapsed/train_time,elapsed/policy_update,elapsed/reference_update,training/learning_rate,elapsed/step_time,step
0.6171875,0.48607313219694626,0.201171875,0.30226778559579315,0.818359375,179.9375,328.8359375,341.85340487882536,1500,23,0.064453125,1500.0,1010,626.9060847759247,512.0,0.9,-0.000205584496143274,-0.0002035552070083213,2.028919478508362e-06,0.00040578390336154513,0.0002432766484840789,1.3353558480739594,144.75789332389832,4.0,0.0,1e-06,774.2224106788635,0
0.6640625,0.472317156255995,0.2509765625,0.298104400882784,0.9150390625,175.78125,288.21484375,343.4017337131004,1500,32,0.064453125,1500.0,939,653.9854819774628,1024.0,0.8999444782733917,-0.0002238401211798191,-0.00022112601010348953,2.712936182369674e-06,0.0005425872500381956,0.00019559375102156081,1.5027416944503784,142.5107421875,8.0,0.0,1e-06,799.0076375007629,1
0.708984375,0.45423070240337055,0.26953125,0.2874479827263317,0.978515625,180.25,282.76953125,313.4712930583202,1500,32,0.05078125,1500.0,1057,528.4705295562744,1536.0,0.8997779130935669,0.0003161552594974637,0.0003193265074514784,3.1698826514769962e-06,0.0006339765448046819,0.00022172671191154154,1.5224588811397552,138.6998097896576,12.0,0.0,1e-06,669.0709939002991,2
0.693359375,0.4610988528500254,0.27734375,0.29019520470872273,0.970703125,177.75,279.068359375,314.3011114940112,1500,22,0.048828125,1500.0,1157,591.0727517604828,2048.0,0.8995004653930664,7.501823711208999e-05,7.878890087908985e-05,3.7711848559496275e-06,0.0007542369883140054,0.00036184841053318,1.587932825088501,138.3144974708557,16.0,0.0,1e-06,731.3703689575195,3
0.65625,0.47495887979908324,0.2568359375,0.3170791816857362,0.9130859375,182.0625,342.412109375,363.5035033706526,1500,47,0.07421875,1500.0,1874,649.2559971809387,2560.0,0.8991120278835297,9.162287460640073e-05,9.553759446134791e-05,3.915587841518686e-06,0.0007831175862520467,0.00034630975475652995,1.3696088790893555,147.7176058292389,20.0,0.0,1e-06,799.3683145046234,4
0.6015625,0.4895764073091656,0.234375,0.32135880939379896,0.8359375,176.46875,352.861328125,377.78811220475967,1500,34,0.07421875,1500.0,1455,643.458550453186,3072.0,0.8986127614974976,-0.00019681695266626775,-0.00019147150669596158,5.346753750856692e-06,0.001069350776333522,0.0005505956737079201,1.4427184760570526,152.0191376209259,24.0,0.0,1e-06,797.7506992816925,5
0.6171875,0.48607313219694626,0.291015625,0.2952709027416338,0.908203125,192.3125,323.861328125,330.0674740272602,1500,26,0.0546875,1500.0,826,639.0245759487152,3584.0,0.8980028808116913,2.7557543944567442e-05,3.265130362706259e-05,5.092921814053852e-06,0.0010185843834733532,0.000350229014010283,1.2956185638904572,144.41024470329285,28.0,0.0,1e-06,785.4757738113403,6
0.65234375,0.4762261876838962,0.2890625,0.30368424571213765,0.94140625,182.21875,333.927734375,349.575390669959,1500,31,0.0625,1500.0,1215,624.649534702301,4096.0,0.8972824394702912,-0.0002770425926428288,-0.0002704514699871652,6.588685669939309e-06,0.0013177371652091097,0.0005707564870154803,1.278084009885788,144.35159516334534,32.0,0.0,1e-06,771.0214569568634,7
0.578125,0.4938587696649721,0.28515625,0.3057623269566372,0.86328125,178.4375,350.744140625,361.9835855071404,1500,31,0.0703125,1500.0,1186,624.6175117492676,4608.0,0.8964516520500183,6.534840213134885e-05,7.267000910360366e-05,7.3219314860040186e-06,0.001464386329644185,0.000743201441328677,1.452476143836975,149.1718554496765,36.0,0.0,1e-06,776.1106128692627,8
0.685546875,0.4642977031794734,0.296875,0.2960514893983815,0.982421875,184.5,306.34375,327.05149841758487,1500,25,0.052734375,1500.0,1400,621.361508846283,5120.0,0.8955106258392335,-0.00014731194823980331,-0.00013835039862897247,8.960922327716503e-06,0.0017921845028467942,0.0009703707099961402,1.4855134189128876,142.5497019290924,40.0,0.0,1e-06,766.2830972671509,9
0.666015625,0.4716341932640798,0.333984375,0.2894251842114977,1.0,182.21875,308.357421875,325.866961422109,1500,22,0.05078125,1500.0,960,639.4539928436279,5632.0,0.8944597363471986,9.243283420801163e-05,0.00010243519500363618,1.0003594063334731e-05,0.002000718860927009,0.0009062666435446765,1.4277469217777252,146.4979269504547,44.0,0.0,1e-06,788.463606595993,10
0.623046875,0.48462301488139664,0.2890625,0.30528787004031127,0.912109375,185.59375,355.53515625,375.56661715371894,1500,30,0.072265625,1500.0,1174,727.6819920539856,6144.0,0.8932991981506347,3.903009928762913e-05,4.9557307647773996e-05,1.052720117655781e-05,0.0021054402750451118,0.0010772586669053766,1.296403020620346,154.6627335548401,48.0,0.0,1e-06,884.597058057785,11
0.611328125,0.4874485086488463,0.33203125,0.28659738575820526,0.943359375,185.71875,300.9375,335.66947447414697,1500,39,0.052734375,1500.0,944,589.6440706253052,6656.0,0.8920292258262634,0.00018214332521893084,0.0001943135866895318,1.2168960392244799e-05,0.0024337921231563087,0.0010578264837289497,1.3366671800613403,143.42703318595886,52.0,0.0,1e-06,735.5362279415131,12
