objective/training/accuracy_reward,objective/training/accuracy_reward_std,objective/training/format_reward,objective/training/format_reward_std,objective/training/total_reward,tokens/training/prompt_length,tokens/training/completion_length,tokens/training/completion_length_std,tokens/training/completion_length_max,tokens/training/completion_length_min,tokens/training/completion_length_max_ratio,tokens/training/completion_length_p99,elapsed/generation_time,elapsed/generation_episodes,elapsed/explore_epsilon,training/loss/pg,training/loss/total,training/loss/kl,training/kl,training/kl_std,training/grad_norm,elapsed/train_time,elapsed/policy_update,elapsed/reference_update,training/learning_rate,elapsed/step_time,step
0.501953125,0.49999618528818235,0.3603515625,0.2243268433643388,0.8623046875,157.9375,152.927734375,114.98982908633461,1500,23,0.0,371.3499999999998,207.44508337974548,512.0,0.9,-0.000371307585737668,-0.00036669087057816796,4.616597287121493e-06,0.00046165973945377914,0.00029088044302149675,1.9590323567390442,104.51733613014221,4.0,0.0,1e-06,315.0005226135254,0
0.591796875,0.4915011024811993,0.384765625,0.21056644157690316,0.9765625,154.375,120.763671875,61.609633040558954,407,21,0.0,296.89,143.74005699157715,1024.0,0.8997779130935669,-0.00016451848205178976,-0.000156613219587598,7.90635102632109e-06,0.0007906351206656836,0.0006510640700652724,2.067090541124344,96.31176233291626,8.0,0.0,1e-06,242.31502056121826,1
0.595703125,0.4907554501635559,0.39453125,0.20398705295542044,0.990234375,158.3125,136.931640625,88.17439448400454,1500,27,0.0,319.55999999999995,174.22205328941345,1536.0,0.8991120278835297,-3.5515695344656706e-06,6.581953130080365e-06,1.0133781380261553e-05,0.001013378159086642,0.0007831026237568372,1.7313495874404907,98.8656997680664,12.0,0.0,1e-06,274.7218015193939,2
0.599609375,0.48997752235394365,0.375,0.21650635094610965,0.974609375,154.96875,139.4921875,93.79465570577486,1500,18,0.0,388.3399999999999,176.74540758132935,2048.0,0.8980028808116913,-0.00029841397190466523,-0.0002806228294502944,1.779121199874112e-05,0.001779121241725079,0.003143080549076105,1.8866757452487946,101.74787950515747,16.0,0.0,1e-06,280.7067573070526,3
0.60546875,0.48874977521574114,0.3720703125,0.2181715811148472,0.9775390625,159.1875,173.298828125,183.0537472263999,1500,23,0.0,1500.0,281.97997403144836,2560.0,0.8964516520500183,7.491567521356046e-05,9.208253004544531e-05,1.7166583688776882e-05,0.0017166584141250496,0.0014086979855326435,1.8238444030284882,109.4020447731018,20.0,0.0,1e-06,393.62246108055115,4
0.5859375,0.49255938331712856,0.3994140625,0.20043811495632785,0.9853515625,155.65625,153.9140625,111.32790652390844,1500,18,0.0,422.1199999999999,204.59363651275635,3072.0,0.8944597363471986,-0.00017040770035237074,-0.00013240407861303538,3.800411638721357e-05,0.0038004117145646887,0.008020334467660196,1.6338062584400177,102.47080945968628,24.0,0.0,1e-06,309.2860417366028,5
0.541015625,0.49831487887264553,0.3818359375,0.212413007095837,0.9228515625,170.4375,153.791015625,111.44372738026132,1500,21,0.0,422.5699999999998,213.5678186416626,3584.0,0.8920292258262634,-0.00020476372446864843,-0.0001761244155602526,2.863885494619467e-05,0.002863885537863098,0.005144310742818186,1.6045616567134857,104.51613664627075,28.0,0.0,1e-06,319.6678502559662,6
0.587890625,0.4922146259886122,0.390625,0.20669932117692114,0.978515625,159.84375,154.548828125,111.71177669929975,1500,34,0.0,415.89,206.1176130771637,4096.0,0.8891625344753266,-1.8629361875355244e-05,1.753671676851809e-05,3.616733559042018e-05,0.0036167336438666098,0.0031593034738575513,1.6770653128623962,102.22198104858398,32.0,0.0,1e-06,310.00095319747925,7
0.546875,0.4977978850648122,0.388671875,0.2080146895870202,0.935546875,157.84375,156.140625,127.08859694956655,1500,24,0.0,423.36999999999955,214.19610810279846,4608.0,0.885862398147583,-0.00036948343040421605,-0.00033590726161492057,3.3575889681003446e-05,0.003357589050210663,0.002812791629782341,2.067628353834152,103.46728944778442,36.0,0.0,1e-06,319.47056770324707,8
0.634765625,0.4814958217039473,0.3994140625,0.20043811495632785,1.0341796875,161.21875,159.669921875,123.38799020389463,1500,27,0.0,400.1499999999995,220.6250021457672,5120.0,0.8821321964263916,-0.0002606813213787973,-0.0002140383148798719,4.664373851426262e-05,0.004664373970626912,0.003973807973627731,1.5100212395191193,102.24573493003845,40.0,0.0,1e-06,324.6238052845001,9
