objective/training/accuracy_reward,objective/training/accuracy_reward_std,objective/training/format_reward,objective/training/format_reward_std,objective/training/total_rewards,objective/training/total_rewards_std,objective/training/completion_length,objective/training/completion_length_std,elapsed/generation_time,elapsed/generation_episodes,elapsed/explore_epsilon,training/total_loss,training/pg_loss,training/kl_loss,training/kl,training/kl_std,elapsed/train_time,elapsed/policy_update,elapsed/reference_update,training/learning_rate,elapsed/step_time,step
0.765625,0.423828125,-0.04541015625,0.1435546875,0.71875,0.462890625,548.0,332.0,211.0,1024.0,0.8984375,0.00157928466796875,0.00157928466796875,9.834766387939453e-07,9.870529174804688e-05,0.00011110305786132812,221.0,8.0,0.0,4.991888999938965e-07,466.0,1
0.734375,0.44140625,-0.02978515625,0.1181640625,0.70703125,0.484375,588.0,452.0,258.0,2048.0,0.8984375,-0.027099609375,-0.0272216796875,9.298324584960938e-06,0.0009307861328125,0.0032501220703125,214.0,16.0,0.0,4.991888999938965e-07,504.0,2
0.6640625,0.47265625,-0.0517578125,0.15234375,0.61328125,0.51953125,628.0,462.0,278.0,3072.0,0.8984375,-0.056640625,-0.056640625,2.6345252990722656e-05,0.0026397705078125,0.008056640625,208.0,24.0,0.0,4.991888999938965e-07,608.0,3
0.7578125,0.427734375,-0.021484375,0.1015625,0.734375,0.443359375,512.0,304.0,235.0,4096.0,0.8984375,0.010986328125,0.010986328125,2.467632293701172e-05,0.002471923828125,0.003509521484375,212.0,32.0,0.0,4.991888999938965e-07,506.0,4
0.66796875,0.470703125,-0.037109375,0.130859375,0.62890625,0.51171875,624.0,434.0,272.0,5120.0,0.8984375,-0.06689453125,-0.0673828125,1.3947486877441406e-05,0.00139617919921875,0.0025634765625,199.0,40.0,0.0,4.991888999938965e-07,528.0,5
0.73828125,0.439453125,-0.02294921875,0.1044921875,0.71484375,0.47265625,596.0,428.0,300.0,6144.0,0.8984375,-0.032470703125,-0.032470703125,3.4332275390625e-05,0.00341796875,0.0108642578125,210.0,48.0,0.0,4.991888999938965e-07,604.0,6
0.796875,0.40234375,-0.01806640625,0.09326171875,0.77734375,0.431640625,500.0,322.0,225.0,7168.0,0.8984375,-0.04345703125,-0.04345703125,2.110004425048828e-05,0.0021209716796875,0.003936767578125,179.0,56.0,0.0,4.991888999938965e-07,432.0,7
0.7109375,0.453125,-0.02392578125,0.10693359375,0.6875,0.48046875,576.0,310.0,244.0,8192.0,0.8984375,0.00168609619140625,0.00160980224609375,9.584426879882812e-05,0.00958251953125,0.0625,191.0,64.0,0.0,4.991888999938965e-07,568.0,8
0.76171875,0.42578125,-0.03271484375,0.12353515625,0.73046875,0.46484375,536.0,406.0,240.0,9216.0,0.8984375,-0.03369140625,-0.033935546875,6.580352783203125e-05,0.006591796875,0.057861328125,183.0,72.0,0.0,4.991888999938965e-07,462.0,9
