step,loss/policy,loss/value,loss/total,policy/approxkl,policy/clipfrac,value/error,value/clipfrac,objective/kl,objective/rewards,objective/returns,step_time,policy/learning_rate,value/learning_rate
13,-0.00970458984375,8.8125,2.640625,-5.507469177246094e-05,0.000308990478515625,0.0322265625,1.5616416931152344e-05,0.0303955078125,0.5234375,0.72265625,64.6543,6.716776158284474e-07,7.540789403681989e-06
14,0.0040283203125,9.25,2.765625,7.343292236328125e-05,0.000286102294921875,0.0311279296875,2.181529998779297e-05,0.0322265625,0.484375,0.7109375,64.7253,6.900922408974273e-07,7.622632181766344e-06
15,-0.1376953125,8.875,2.796875,-4.935264587402344e-05,0.000415802001953125,0.0301513671875,5.745887756347656e-05,0.031982421875,0.5078125,0.71484375,64.9849,7.071415207318769e-07,7.698406758808342e-06
16,0.03125,9.0,2.671875,-3.743171691894531e-05,0.0004291534423828125,0.03173828125,6.151199340820312e-05,0.037109375,0.5390625,0.72265625,64.9878,7.230140205234422e-07,7.76895120232641e-06
17,0.044921875,8.8125,2.59375,0.00021839141845703125,0.0002651214599609375,0.032958984375,3.886222839355469e-05,0.03369140625,0.5,0.72265625,53.9883,7.378617524880085e-07,7.834941122168926e-06
18,-0.056396484375,9.875,3.015625,-0.00011491775512695312,0.0003376007080078125,0.03125,7.2479248046875e-05,0.035888671875,0.453125,0.69140625,61.0644,7.51809052787389e-07,7.896929123499506e-06
19,-0.028564453125,8.875,2.6875,0.00012683868408203125,0.000469207763671875,0.0308837890625,3.7670135498046875e-05,0.038818359375,0.5703125,0.70703125,62.2183,7.649589172908886e-07,7.955372965737283e-06
20,-0.051025390625,10.25,3.125,7.43865966796875e-05,0.00032806396484375,0.0303955078125,3.528594970703125e-05,0.04150390625,0.4609375,0.671875,64.3096,7.773976220417884e-07,8.010656097963505e-06
21,-0.03857421875,10.125,3.078125,0.0001010894775390625,0.0003566741943359375,0.031494140625,1.341104507446289e-05,0.040771484375,0.466796875,0.6875,65.5531,7.891981571830031e-07,8.063102920813349e-06
22,-0.0341796875,9.125,2.78125,0.0002613067626953125,0.0003223419189453125,0.031005859375,2.8967857360839844e-05,0.041259765625,0.484375,0.69140625,65.0826,8.004228221943181e-07,8.112990320863637e-06
23,0.1103515625,9.0625,2.609375,-5.817413330078125e-05,0.000362396240234375,0.031005859375,0.00012874603271484375,0.041748046875,0.5078125,0.7109375,64.7475,8.111252168411057e-07,8.160556519293803e-06
24,-0.005950927734375,9.5625,2.875,-2.3484230041503906e-05,0.0003604888916015625,0.03173828125,2.6941299438476562e-05,0.031494140625,0.515625,0.69921875,65.3799,8.213517891946525e-07,8.206007951976235e-06
25,0.035888671875,9.5,2.8125,1.5020370483398438e-05,0.000286102294921875,0.032958984375,0.0,0.0439453125,0.4921875,0.71484375,65.4746,8.311430539504497e-07,8.249524684224221e-06
26,-0.07275390625,9.5,2.921875,0.00022792816162109375,0.000396728515625,0.030029296875,2.002716064453125e-05,0.042724609375,0.484375,0.6796875,65.595,8.405345618779979e-07,8.291264719457769e-06
27,0.061279296875,9.625,2.84375,-6.103515625e-05,0.0005340576171875,0.031494140625,6.866455078125e-05,0.03955078125,0.4609375,0.70703125,65.9122,8.495576790194293e-07,8.331367462308576e-06
28,-0.1357421875,9.125,2.859375,-1.6808509826660156e-05,0.000278472900390625,0.0306396484375,5.1021575927734375e-05,0.034912109375,0.546875,0.69140625,65.7762,8.582402187533298e-07,8.369956527792578e-06
29,0.00823974609375,8.8125,2.640625,1.049041748046875e-05,0.0003833770751953125,0.03125,1.1622905731201172e-05,0.03857421875,0.515625,0.70703125,65.6354,8.666069588538791e-07,8.407142039350573e-06
30,0.0262451171875,9.8125,2.90625,-2.0302832126617432e-07,0.00019168853759765625,0.0322265625,0.00010013580322265625,0.03662109375,0.5078125,0.69140625,65.7626,8.746800677763781e-07,8.44302252345057e-06
31,-0.0498046875,10.0625,3.078125,5.817413330078125e-05,0.0004119873046875,0.031494140625,2.3365020751953125e-05,0.04052734375,0.4765625,0.67578125,66.0723,8.824794586454443e-07,8.477686482868642e-06
32,-0.028564453125,9.25,2.796875,0.000179290771484375,0.0004215240478515625,0.0303955078125,4.863739013671875e-05,0.038330078125,0.46875,0.7109375,65.9951,8.900230851782494e-07,8.511213711903331e-06
33,0.0103759765625,8.375,2.515625,-9.441375732421875e-05,0.0002384185791015625,0.0302734375,9.238719940185547e-06,0.035888671875,0.58984375,0.72265625,55.4131,8.973271906100106e-07,8.543676402711158e-06
34,-0.01025390625,9.75,2.9375,-0.00014495849609375,0.0002002716064453125,0.03125,5.3882598876953125e-05,0.03564453125,0.421875,0.69921875,61.4434,9.044065183035468e-07,8.575140081349096e-06
35,-0.0218505859375,9.3125,2.8125,0.000125885009765625,0.000347137451171875,0.03125,5.507469177246094e-05,0.0361328125,0.4765625,0.71484375,64.781,9.11274490909391e-07,8.605664404041739e-06
36,0.087890625,9.125,2.65625,-4.649162292480469e-05,0.000423431396484375,0.031494140625,9.393692016601562e-05,0.033203125,0.4453125,0.69140625,64.8539,9.179433635488739e-07,8.635303837994996e-06
37,0.05908203125,9.125,2.671875,1.919269561767578e-05,0.0003871917724609375,0.031982421875,5.316734313964844e-05,0.03564453125,0.44921875,0.7265625,64.5425,9.244243554128908e-07,8.664108246279514e-06
38,-0.06689453125,9.0,2.765625,0.000148773193359375,0.0004787445068359375,0.030029296875,2.4080276489257812e-05,0.031982421875,0.515625,0.703125,64.6777,9.30727763326159e-07,8.692123392560706e-06
39,-0.039794921875,9.0625,2.75,2.6702880859375e-05,0.0004367828369140625,0.030517578125,6.198883056640625e-05,0.0341796875,0.5,0.70703125,65.1778,9.368630601637905e-07,8.719391378505736e-06
40,-0.0223388671875,9.875,2.984375,-0.00022983551025390625,0.000324249267578125,0.03173828125,2.4318695068359375e-05,0.032470703125,0.4453125,0.68359375,65.5236,9.428389804818705e-07,8.74595102436387e-06
41,-0.0361328125,9.125,2.78125,-0.0002307891845703125,0.0004367828369140625,0.03173828125,0.000118255615234375,0.029541015625,0.5,0.72265625,65.4223,9.486635953050052e-07,8.77183820135558e-06
42,0.047607421875,9.5,2.796875,-0.00011014938354492188,0.0005340576171875,0.03173828125,1.4960765838623047e-05,0.038818359375,0.4140625,0.69921875,65.4647,9.543443776778333e-07,8.797086123012593e-06
43,0.0615234375,8.75,2.5625,3.4332275390625e-05,0.0003948211669921875,0.02978515625,2.3126602172851562e-05,0.032470703125,0.53125,0.69140625,65.6356,9.598882603163203e-07,8.821725601405868e-06
44,0.01031494140625,9.5625,2.859375,7.62939453125e-05,0.0002536773681640625,0.030517578125,2.47955322265625e-05,0.035888671875,0.4609375,0.70703125,65.7918,9.653016864745484e-07,8.845785273220216e-06
45,-0.02392578125,8.8125,2.671875,5.221366882324219e-05,0.0003566741943359375,0.0322265625,0.0,0.03662109375,0.44921875,0.703125,65.3968,9.705906549631076e-07,8.869291799836035e-06
46,-0.08447265625,9.6875,2.984375,1.4603137969970703e-05,0.00034332275390625,0.0308837890625,5.650520324707031e-05,0.02978515625,0.4921875,0.7109375,65.7914,9.757607601078853e-07,8.892270044923935e-06
47,0.041015625,8.75,2.59375,5.745887756347656e-05,0.000431060791015625,0.0311279296875,5.626678466796875e-05,0.034423828125,0.5,0.703125,65.624,9.808172273166547e-07,8.914743232518464e-06
48,0.107421875,9.375,2.703125,-1.3887882232666016e-05,0.00057220458984375,0.0311279296875,3.7670135498046875e-05,0.0306396484375,0.46875,0.71484375,65.6792,9.85764944820363e-07,8.936733088090504e-06
49,-0.059326171875,9.25,2.828125,-5.14984130859375e-05,0.00054931640625,0.03173828125,1.1444091796875e-05,0.037109375,0.51171875,0.70703125,42.8549,9.906084920724518e-07,8.958259964766452e-06
50,0.006561279296875,8.4375,2.53125,0.000141143798828125,0.000438690185546875,0.02978515625,3.6716461181640625e-05,0.0299072265625,0.5234375,0.70703125,52.783,9.953521652197498e-07,8.979342956532222e-06
51,0.00775146484375,9.125,2.734375,-0.00015926361083984375,0.0004673004150390625,0.03125,4.5299530029296875e-05,0.0302734375,0.5234375,0.69921875,58.8162,1e-06,9e-06
52,0.023193359375,9.5625,2.859375,2.288818359375e-05,0.00026702880859375,0.03125,1.5497207641601562e-05,0.035400390625,0.5078125,0.6953125,61.8427,1e-06,9e-06
53,-0.03515625,8.6875,2.640625,-5.327165126800537e-07,0.0004329681396484375,0.030517578125,6.580352783203125e-05,0.030029296875,0.5546875,0.70703125,62.1332,9.99981981981982e-07,8.99991991991992e-06
54,-0.01904296875,10.0,3.03125,2.288818359375e-05,0.0003814697265625,0.031005859375,4.100799560546875e-05,0.04150390625,0.4921875,0.69140625,63.6906,9.99963963963964e-07,8.99983983983984e-06
55,0.01953125,8.875,2.640625,-2.586841583251953e-05,0.000446319580078125,0.031982421875,3.814697265625e-05,0.034423828125,0.4375,0.69921875,63.6322,9.99945945945946e-07,8.99975975975976e-06
56,0.0157470703125,8.9375,2.65625,7.05718994140625e-05,0.0004119873046875,0.0308837890625,4.9114227294921875e-05,0.03125,0.5546875,0.7109375,63.7386,9.99927927927928e-07,8.99967967967968e-06
57,-0.0120849609375,8.625,2.59375,-2.5272369384765625e-05,0.0003948211669921875,0.03173828125,2.6345252990722656e-05,0.03466796875,0.466796875,0.70703125,63.6503,9.9990990990991e-07,8.999599599599599e-06
58,-0.0240478515625,9.75,2.9375,-0.00023651123046875,0.0003986358642578125,0.0301513671875,1.5497207641601562e-05,0.036376953125,0.5234375,0.6875,64.6068,9.998918918918919e-07,8.99951951951952e-06
59,-0.03125,9.0625,2.75,-0.00011682510375976562,0.0002880096435546875,0.031982421875,2.8848648071289062e-05,0.03759765625,0.5390625,0.70703125,64.4926,9.998738738738737e-07,8.99943943943944e-06
60,-0.046875,9.0625,2.765625,8.96453857421875e-05,0.0002593994140625,0.0311279296875,2.09808349609375e-05,0.0279541015625,0.53125,0.72265625,64.7692,9.998558558558556e-07,8.99935935935936e-06
61,0.036376953125,9.4375,2.78125,3.075599670410156e-05,0.000362396240234375,0.02880859375,0.0,0.03662109375,0.5,0.6796875,65.0828,9.998378378378376e-07,8.99927927927928e-06
62,-0.0177001953125,9.25,2.796875,-0.000171661376953125,0.0004177093505859375,0.03173828125,5.1975250244140625e-05,0.038818359375,0.4921875,0.71484375,65.3994,9.998198198198198e-07,8.999199199199199e-06
63,-0.0537109375,9.4375,2.890625,0.00016021728515625,0.000415802001953125,0.031005859375,8.0108642578125e-05,0.029541015625,0.515625,0.703125,65.5824,9.998018018018018e-07,8.99911911911912e-06
64,-0.04345703125,8.6875,2.640625,-0.00023651123046875,0.0003681182861328125,0.031982421875,4.1961669921875e-05,0.03076171875,0.5390625,0.71484375,65.3699,9.997837837837836e-07,8.99903903903904e-06
65,-0.04638671875,9.0,2.75,-9.298324584960938e-05,0.0003299713134765625,0.0322265625,0.0,0.036865234375,0.5,0.70703125,43.7981,9.997657657657656e-07,8.99895895895896e-06
66,0.00836181640625,8.6875,2.59375,2.637505531311035e-06,0.00034332275390625,0.0322265625,4.029273986816406e-05,0.036376953125,0.5,0.71875,52.1516,9.997477477477476e-07,8.998878878878878e-06
67,-0.0712890625,9.25,2.84375,4.1961669921875e-05,0.0003986358642578125,0.031494140625,3.8623809814453125e-05,0.03955078125,0.515625,0.69921875,57.846,9.997297297297296e-07,8.998798798798799e-06
68,-0.06201171875,9.0625,2.78125,2.0265579223632812e-05,0.000606536865234375,0.03173828125,2.4437904357910156e-05,0.0380859375,0.515625,0.703125,59.6126,9.997117117117116e-07,8.99871871871872e-06
69,-0.00012874603271484375,8.9375,2.6875,5.435943603515625e-05,0.0003490447998046875,0.031494140625,2.467632293701172e-05,0.040771484375,0.57421875,0.71484375,60.4385,9.996936936936935e-07,8.998638638638639e-06
70,-0.08251953125,9.0,2.78125,-3.075599670410156e-05,0.0004177093505859375,0.03173828125,8.344650268554688e-05,0.037109375,0.5234375,0.69921875,61.6173,9.996756756756755e-07,8.998558558558558e-06
71,-0.041259765625,9.0,2.75,0.0001373291015625,0.0004062652587890625,0.03173828125,2.4437904357910156e-05,0.037109375,0.5,0.73046875,62.7375,9.996576576576575e-07,8.998478478478478e-06
72,0.0260009765625,8.5625,2.546875,0.00011301040649414062,0.00024318695068359375,0.031982421875,4.100799560546875e-05,0.03466796875,0.5,0.70703125,62.4484,9.996396396396395e-07,8.998398398398399e-06
73,-0.011962890625,9.4375,2.859375,0.00018596649169921875,0.00023937225341796875,0.030517578125,0.00013828277587890625,0.04052734375,0.466796875,0.69921875,63.2735,9.996216216216215e-07,8.998318318318318e-06
74,-0.035888671875,9.125,2.765625,9.250640869140625e-05,0.00028228759765625,0.03173828125,3.5762786865234375e-05,0.04052734375,0.5390625,0.703125,63.4443,9.996036036036035e-07,8.998238238238239e-06
75,0.0093994140625,9.25,2.765625,-8.916854858398438e-05,0.000370025634765625,0.0322265625,8.7738037109375e-05,0.03369140625,0.453125,0.7109375,63.5969,9.995855855855855e-07,8.998158158158158e-06
76,-0.0084228515625,8.25,2.5,6.580352783203125e-05,0.00048828125,0.03271484375,3.528594970703125e-05,0.034423828125,0.5625,0.7265625,63.1971,9.995675675675675e-07,8.998078078078078e-06
77,-0.029296875,9.625,2.90625,-0.00010585784912109375,0.000301361083984375,0.03173828125,0.0,0.033935546875,0.45703125,0.70703125,63.5658,9.995495495495494e-07,8.997997997997999e-06
78,-0.033203125,8.6875,2.640625,-3.814697265625e-06,0.0003528594970703125,0.03271484375,7.724761962890625e-05,0.03271484375,0.5546875,0.71875,63.5369,9.995315315315314e-07,8.997917917917918e-06
79,-0.0286865234375,9.0,2.734375,-6.246566772460938e-05,0.000385284423828125,0.03173828125,3.361701965332031e-05,0.047607421875,0.453125,0.70703125,63.618,9.995135135135134e-07,8.997837837837837e-06
80,-0.060546875,9.0625,2.78125,5.340576171875e-05,0.000347137451171875,0.03125,2.3484230041503906e-05,0.03466796875,0.5390625,0.703125,63.7753,9.994954954954954e-07,8.997757757757758e-06
81,0.049072265625,8.625,2.53125,0.00011539459228515625,0.000560760498046875,0.0311279296875,0.0,0.039794921875,0.56640625,0.73046875,43.3836,9.994774774774774e-07,8.997677677677679e-06
82,0.0113525390625,9.375,2.796875,-8.869171142578125e-05,0.0003509521484375,0.033203125,3.0159950256347656e-05,0.0400390625,0.46875,0.7109375,54.2234,9.994594594594594e-07,8.997597597597598e-06
83,-0.134765625,8.75,2.75,7.009506225585938e-05,0.000522613525390625,0.030517578125,5.793571472167969e-05,0.036376953125,0.5703125,0.7421875,57.0414,9.994414414414414e-07,8.997517517517517e-06
84,0.0260009765625,9.0,2.6875,0.00021839141845703125,0.00032806396484375,0.031982421875,2.300739288330078e-05,0.03173828125,0.4921875,0.70703125,59.0664,9.994234234234234e-07,8.997437437437437e-06
85,-0.0439453125,9.3125,2.84375,-0.0001239776611328125,0.00048065185546875,0.033447265625,4.5299530029296875e-05,0.035400390625,0.435546875,0.69921875,60.7911,9.994054054054054e-07,8.997357357357358e-06
86,-0.01116943359375,9.25,2.796875,-0.000213623046875,0.000316619873046875,0.0322265625,4.410743713378906e-05,0.037109375,0.484375,0.7265625,61.4639,9.993873873873873e-07,8.997277277277277e-06
87,-0.041259765625,8.625,2.625,0.00020313262939453125,0.0003147125244140625,0.030029296875,9.918212890625e-05,0.038818359375,0.5625,0.734375,61.9216,9.993693693693693e-07,8.997197197197198e-06
88,-0.041259765625,8.6875,2.640625,8.487701416015625e-05,0.0002994537353515625,0.032470703125,6.4849853515625e-05,0.03125,0.609375,0.734375,62.1096,9.993513513513513e-07,8.997117117117117e-06
89,-0.054443359375,9.0625,2.765625,-0.00016498565673828125,0.000461578369140625,0.032958984375,3.457069396972656e-05,0.033935546875,0.5,0.74609375,62.5593,9.993333333333333e-07,8.997037037037037e-06
90,-0.057861328125,9.1875,2.8125,-0.00014972686767578125,0.000293731689453125,0.0308837890625,5.4836273193359375e-05,0.042724609375,0.4921875,0.7109375,63.3965,9.993153153153153e-07,8.996956956956958e-06
91,-0.02197265625,8.5,2.5625,5.984306335449219e-05,0.0001983642578125,0.031494140625,7.724761962890625e-05,0.036865234375,0.5703125,0.7265625,63.1996,9.992972972972973e-07,8.996876876876877e-06
92,0.07763671875,9.5,2.78125,-7.200241088867188e-05,0.000377655029296875,0.03173828125,1.055002212524414e-05,0.0400390625,0.5,0.7109375,63.4877,9.992792792792793e-07,8.996796796796796e-06
93,-0.055908203125,9.3125,2.84375,-0.00012683868408203125,0.00042724609375,0.031982421875,2.1219253540039062e-05,0.040283203125,0.53125,0.71484375,63.5,9.992612612612613e-07,8.996716716716717e-06
94,-0.0296630859375,8.5625,2.59375,0.0001392364501953125,0.0004329681396484375,0.033203125,5.1021575927734375e-05,0.04052734375,0.5390625,0.7421875,63.2286,9.992432432432432e-07,8.996636636636637e-06
95,-0.0225830078125,8.6875,2.625,8.535385131835938e-05,0.0002956390380859375,0.03076171875,8.058547973632812e-05,0.033935546875,0.578125,0.7265625,63.3254,9.992252252252252e-07,8.996556556556556e-06
96,0.049072265625,9.5625,2.8125,-2.491474151611328e-05,0.000377655029296875,0.031494140625,9.107589721679688e-05,0.03466796875,0.453125,0.703125,63.7029,9.992072072072072e-07,8.996476476476475e-06
97,0.0267333984375,8.25,2.453125,-6.854534149169922e-06,0.000457763671875,0.0308837890625,1.7762184143066406e-05,0.033203125,0.56640625,0.734375,40.985,9.991891891891892e-07,8.996396396396396e-06
98,-0.0302734375,10.125,3.078125,8.106231689453125e-06,0.00029754638671875,0.032958984375,2.753734588623047e-05,0.0299072265625,0.421875,0.71484375,55.0813,9.991711711711712e-07,8.996316316316317e-06
99,-0.10302734375,9.0625,2.828125,0.00021648406982421875,0.000457763671875,0.03271484375,9.393692016601562e-05,0.03759765625,0.453125,0.72265625,58.2669,9.991531531531532e-07,8.996236236236236e-06
100,-0.014404296875,8.8125,2.65625,0.00011539459228515625,0.00038909912109375,0.031494140625,5.7220458984375e-05,0.03515625,0.5078125,0.70703125,59.4898,9.991351351351352e-07,8.996156156156157e-06
101,-0.11669921875,9.0,2.8125,0.0002269744873046875,0.000545501708984375,0.0322265625,0.0,0.033203125,0.51171875,0.71875,60.9005,9.991171171171172e-07,8.996076076076076e-06
102,0.00823974609375,9.125,2.734375,-1.150369644165039e-05,0.0003452301025390625,0.0311279296875,3.266334533691406e-05,0.040283203125,0.4453125,0.69921875,61.4334,9.990990990990992e-07,8.995995995995996e-06
103,0.0098876953125,8.9375,2.6875,-0.0001239776611328125,0.00032806396484375,0.033203125,5.4836273193359375e-05,0.0291748046875,0.484375,0.72265625,61.9054,9.990810810810811e-07,8.995915915915917e-06
104,0.03125,9.375,2.78125,5.53131103515625e-05,0.000385284423828125,0.03173828125,4.267692565917969e-05,0.035400390625,0.515625,0.734375,62.2303,9.990630630630631e-07,8.995835835835836e-06
105,-0.0791015625,9.125,2.8125,0.00014019012451171875,0.000331878662109375,0.03173828125,4.3392181396484375e-05,0.0322265625,0.5,0.70703125,62.7045,9.990450450450451e-07,8.995755755755755e-06
106,0.08203125,8.6875,2.515625,-0.00019359588623046875,0.0003185272216796875,0.031494140625,0.0001373291015625,0.0311279296875,0.5234375,0.72265625,62.9865,9.990270270270271e-07,8.995675675675676e-06
107,-0.006622314453125,9.625,2.890625,5.0067901611328125e-05,0.0004825592041015625,0.033203125,1.3470649719238281e-05,0.036865234375,0.5078125,0.73046875,63.1634,9.99009009009009e-07,8.995595595595596e-06
108,-0.0751953125,9.25,2.84375,8.7738037109375e-05,0.000274658203125,0.03125,2.9325485229492188e-05,0.04052734375,0.4296875,0.71875,63.1401,9.989909909909909e-07,8.995515515515515e-06
109,0.050537109375,9.125,2.703125,-1.537799835205078e-05,0.0002994537353515625,0.032470703125,9.965896606445312e-05,0.028564453125,0.478515625,0.70703125,63.1629,9.989729729729729e-07,8.995435435435434e-06
110,0.0016632080078125,8.875,2.65625,-3.4809112548828125e-05,0.000438690185546875,0.031982421875,2.7060508728027344e-05,0.035400390625,0.4765625,0.7265625,63.1344,9.98954954954955e-07,8.995355355355355e-06
111,-0.0791015625,8.875,2.75,-0.0002193450927734375,0.0004520416259765625,0.0322265625,1.633167266845703e-05,0.03564453125,0.4765625,0.7265625,62.9604,9.98936936936937e-07,8.995275275275276e-06
112,0.041259765625,9.6875,2.875,2.849102020263672e-05,0.000415802001953125,0.031982421875,6.031990051269531e-05,0.03759765625,0.4921875,0.70703125,63.3834,9.98918918918919e-07,8.995195195195197e-06
113,-0.0625,8.25,2.546875,5.1975250244140625e-05,0.00034332275390625,0.029541015625,0.00011205673217773438,0.037353515625,0.53125,0.734375,43.1259,9.989009009009008e-07,8.995115115115116e-06
114,0.0128173828125,9.1875,2.734375,-8.0108642578125e-05,0.000396728515625,0.031494140625,0.0,0.035888671875,0.5234375,0.6953125,53.9135,9.988828828828828e-07,8.995035035035035e-06
115,0.00897216796875,8.8125,2.625,-0.00020503997802734375,0.000492095947265625,0.0311279296875,9.119510650634766e-06,0.033203125,0.4921875,0.7109375,57.4374,9.988648648648648e-07,8.994954954954955e-06
116,0.00579833984375,9.0,2.703125,3.62396240234375e-05,0.000362396240234375,0.031494140625,7.82012939453125e-05,0.04150390625,0.4921875,0.72265625,59.8821,9.98846846846847e-07,8.994874874874876e-06
117,0.061279296875,9.125,2.671875,4.1484832763671875e-05,0.000392913818359375,0.03173828125,6.246566772460938e-05,0.04248046875,0.5234375,0.71875,60.9617,9.988288288288288e-07,8.994794794794795e-06
118,-0.10302734375,8.6875,2.703125,0.00010585784912109375,0.0004673004150390625,0.030517578125,5.1021575927734375e-05,0.03369140625,0.4609375,0.703125,61.6201,9.988108108108108e-07,8.994714714714714e-06
119,0.01458740234375,9.125,2.71875,-1.780688762664795e-06,0.000324249267578125,0.0299072265625,0.0,0.041015625,0.546875,0.69140625,62.743,9.987927927927927e-07,8.994634634634635e-06
120,-0.022705078125,8.6875,2.625,-6.437301635742188e-05,0.000499725341796875,0.03173828125,1.6927719116210938e-05,0.040283203125,0.4921875,0.7265625,62.7383,9.987747747747747e-07,8.994554554554555e-06
121,0.0181884765625,8.5625,2.546875,0.00014972686767578125,0.000499725341796875,0.029052734375,0.0,0.03076171875,0.5546875,0.70703125,62.8655,9.987567567567567e-07,8.994474474474476e-06
122,-0.024658203125,9.0625,2.75,0.00012063980102539062,0.000301361083984375,0.0301513671875,0.0,0.0419921875,0.515625,0.69921875,63.6987,9.987387387387387e-07,8.994394394394393e-06
123,-0.052978515625,8.9375,2.734375,-0.000186920166015625,0.00038909912109375,0.031005859375,7.82012939453125e-05,0.03515625,0.4375,0.6953125,63.6661,9.987207207207207e-07,8.994314314314314e-06
124,0.04296875,8.625,2.546875,-3.4570693969726562e-06,0.00046539306640625,0.03173828125,4.792213439941406e-05,0.04443359375,0.5390625,0.74609375,63.5291,9.987027027027027e-07,8.994234234234235e-06
125,-0.044189453125,8.9375,2.734375,5.3882598876953125e-05,0.00022411346435546875,0.033203125,1.341104507446289e-05,0.035888671875,0.466796875,0.71484375,63.544,9.986846846846847e-07,8.994154154154155e-06
126,-0.032958984375,9.125,2.78125,0.00011587142944335938,0.0004425048828125,0.031494140625,2.5272369384765625e-05,0.04052734375,0.4609375,0.71484375,63.9124,9.986666666666665e-07,8.994074074074074e-06
127,0.03857421875,8.75,2.578125,0.0002689361572265625,0.0004138946533203125,0.0299072265625,4.5299530029296875e-05,0.039306640625,0.5,0.69921875,64.0019,9.986486486486484e-07,8.993993993993993e-06
128,-0.0167236328125,8.6875,2.609375,5.221366882324219e-05,0.000316619873046875,0.02978515625,1.4960765838623047e-05,0.038818359375,0.59375,0.71875,64.2114,9.986306306306306e-07,8.993913913913914e-06
129,-0.08740234375,9.6875,3.0,0.0002460479736328125,0.0003833770751953125,0.033935546875,0.00011110305786132812,0.032958984375,0.45703125,0.73046875,43.5342,9.986126126126126e-07,8.993833833833835e-06
130,-0.060546875,9.625,2.9375,7.539987564086914e-06,0.00048828125,0.03173828125,5.245208740234375e-06,0.037841796875,0.484375,0.703125,54.7426,9.985945945945946e-07,8.993753753753754e-06
131,-0.04638671875,9.0,2.75,0.00012111663818359375,0.0003948211669921875,0.031494140625,7.43865966796875e-05,0.0341796875,0.5078125,0.7109375,58.446,9.985765765765764e-07,8.993673673673673e-06
132,0.0022735595703125,8.75,2.625,2.4080276489257812e-05,0.000484466552734375,0.0303955078125,2.193450927734375e-05,0.0390625,0.546875,0.71484375,59.8303,9.985585585585584e-07,8.993593593593594e-06
133,-0.1044921875,8.875,2.765625,0.00015354156494140625,0.0003147125244140625,0.033203125,4.696846008300781e-05,0.037841796875,0.478515625,0.71875,60.4221,9.985405405405404e-07,8.993513513513514e-06
134,-0.08447265625,9.75,3.0,0.00019741058349609375,0.0004215240478515625,0.0308837890625,5.245208740234375e-05,0.03857421875,0.4921875,0.69921875,62.3389,9.985225225225224e-07,8.993433433433435e-06
135,-0.0576171875,9.1875,2.8125,0.0002765655517578125,0.0004177093505859375,0.031494140625,1.2099742889404297e-05,0.037109375,0.453125,0.71875,62.5426,9.985045045045043e-07,8.993353353353352e-06
