objective/training/accuracy_reward,objective/training/accuracy_reward_std,objective/training/format_reward,objective/training/format_reward_std,objective/training/total_rewards,objective/training/total_rewards_std,objective/training/completion_length,objective/training/completion_length_std,elapsed/generation_time,elapsed/generation_episodes,elapsed/explore_epsilon,training/total_loss,training/pg_loss,training/kl_loss,training/kl,training/kl_std,elapsed/train_time,elapsed/policy_update,elapsed/reference_update,training/learning_rate,elapsed/step_time,step
0.72265625,0.447265625,-0.02099609375,0.10009765625,0.703125,0.478515625,608.0,392.0,148.0,20480.0,0.890625,-0.005828857421875,-0.005859375,6.341934204101562e-05,0.00634765625,0.007659912109375,174.0,160.0,0.0,4.991888999938965e-07,374.0,20
0.796875,0.40234375,-0.05029296875,0.150390625,0.74609375,0.47265625,600.0,396.0,173.0,21504.0,0.890625,-0.041015625,-0.041015625,5.984306335449219e-05,0.0059814453125,0.00567626953125,177.0,168.0,0.0,4.991888999938965e-07,436.0,21
0.79296875,0.40625,-0.025390625,0.10986328125,0.765625,0.431640625,592.0,380.0,152.0,22528.0,0.890625,-0.052734375,-0.052978515625,6.628036499023438e-05,0.00665283203125,0.00927734375,176.0,176.0,0.0,4.991888999938965e-07,354.0,22
0.78125,0.4140625,-0.03759765625,0.1318359375,0.7421875,0.455078125,608.0,318.0,155.0,23552.0,0.890625,0.03662109375,0.036376953125,0.000247955322265625,0.024658203125,0.2236328125,173.0,184.0,0.0,4.991888999938965e-07,352.0,23
0.6953125,0.4609375,-0.0146484375,0.08447265625,0.6796875,0.484375,520.0,278.0,133.0,24576.0,0.88671875,-0.039794921875,-0.0400390625,8.726119995117188e-05,0.00872802734375,0.0155029296875,175.0,192.0,0.0,4.991888999938965e-07,344.0,24
0.76953125,0.421875,-0.0244140625,0.10791015625,0.74609375,0.447265625,572.0,436.0,133.0,25600.0,0.88671875,0.00836181640625,0.00830078125,5.936622619628906e-05,0.005950927734375,0.00726318359375,186.0,200.0,0.0,4.991888999938965e-07,352.0,25
0.75,0.43359375,-0.029296875,0.11767578125,0.72265625,0.453125,604.0,386.0,157.0,26624.0,0.88671875,-0.0233154296875,-0.0234375,0.00011014938354492188,0.01104736328125,0.0283203125,188.0,208.0,0.0,4.954636096954346e-07,380.0,26
0.7578125,0.427734375,-0.021484375,0.1015625,0.73828125,0.458984375,496.0,232.0,111.5,27648.0,0.88671875,-0.023193359375,-0.023193359375,5.555152893066406e-05,0.00555419921875,0.00933837890625,163.0,216.0,0.0,4.954636096954346e-07,306.0,27
0.7578125,0.4296875,-0.04150390625,0.1376953125,0.71484375,0.486328125,572.0,306.0,136.0,28672.0,0.8828125,0.0257568359375,0.025634765625,5.888938903808594e-05,0.005889892578125,0.00579833984375,177.0,224.0,0.0,4.954636096954346e-07,372.0,28
0.72265625,0.44921875,-0.02734375,0.11376953125,0.6953125,0.490234375,656.0,426.0,166.0,29696.0,0.8828125,-0.018798828125,-0.01904296875,0.00019168853759765625,0.0191650390625,0.06591796875,185.0,232.0,0.0,4.954636096954346e-07,418.0,29
0.65625,0.474609375,-0.02978515625,0.1181640625,0.62890625,0.515625,660.0,402.0,180.0,30720.0,0.8828125,-0.0556640625,-0.0556640625,6.866455078125e-05,0.006866455078125,0.01104736328125,178.0,240.0,0.0,4.954636096954346e-07,416.0,30
0.625,0.484375,-0.02685546875,0.11279296875,0.59765625,0.515625,604.0,412.0,165.0,31744.0,0.87890625,-0.0234375,-0.0234375,6.914138793945312e-05,0.00689697265625,0.0079345703125,183.0,248.0,0.0,4.954636096954346e-07,404.0,31
0.7421875,0.439453125,-0.02099609375,0.10009765625,0.71875,0.470703125,556.0,264.0,150.0,32768.0,0.87890625,0.0074462890625,0.00732421875,0.0001316070556640625,0.01318359375,0.0576171875,171.0,256.0,0.0,4.954636096954346e-07,380.0,32
0.7578125,0.427734375,-0.0166015625,0.08984375,0.7421875,0.453125,474.0,304.0,136.0,33792.0,0.87890625,-0.0038299560546875,-0.003875732421875,9.965896606445312e-05,0.010009765625,0.01416015625,164.0,264.0,0.0,4.917383193969727e-07,350.0,33
